0,1,2,3,4,5,6,7
2024/09/01,金沢,佐賀,盛岡,帯広,,,
2024/09/02,川崎,盛岡,帯広,,,,
2024/09/03,川崎,金沢,盛岡,名古屋,門別,,
2024/09/04,川崎,名古屋,園田,門別,,,
2024/09/05,川崎,名古屋,園田,門別,,,
2024/09/06,川崎,名古屋,園田,,,,
2024/09/07,金沢,佐賀,高知,帯広,,,
2024/09/08,大井,佐賀,高知,水沢,帯広,,
2024/09/09,大井,水沢,帯広,,,,
2024/09/10,大井,金沢,水沢,門別,,,
2024/09/11,大井,笠松,園田,門別,,,
2024/09/12,大井,笠松,園田,門別,,,
2024/09/13,大井,笠松,園田,,,,
2024/09/14,佐賀,帯広,,,,,
2024/09/15,金沢,佐賀,高知,水沢,帯広,,
2024/09/16,佐賀,高知,水沢,帯広,,,
2024/09/17,浦和,金沢,水沢,名古屋,門別,,
2024/09/18,浦和,名古屋,園田,門別,,,
2024/09/19,浦和,名古屋,園田,門別,,,
2024/09/20,浦和,名古屋,園田,,,,
2024/09/21,金沢,佐賀,帯広,,,,
2024/09/22,佐賀,高知,水沢,帯広,,,
2024/09/23,船橋,笠松,金沢,高知,水沢,帯広,
2024/09/24,船橋,水沢,門別,,,,
2024/09/25,船橋,笠松,園田,門別,,,
2024/09/26,船橋,笠松,佐賀,園田,門別,,
2024/09/27,船橋,笠松,園田,,,,
2024/09/28,佐賀,高知,帯広,,,,
2024/09/29,大井,佐賀,高知,水沢,帯広,,
2024/09/30,大井,金沢,水沢,帯広,,,
